क्र.सं.,जिल्ला,प्रतिनिधि सभा निर्वाचन क्षेत्र,राजनीतिक दल / स्वतन्त्र,उम्मेदवारको नाम,उमेर,लिङ्ग
361,सुनसरी,2,प्रगतिशील लोकतान्त्रिक पार्टी,ताजिना विष्ट,31,महिला
362,सुनसरी,2,श्रम संस्कृति पार्टी,चेतन राई,33,पुरुष
363,सुनसरी,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),कृष्ण कुमारी दनुवार,40,महिला
364,सुनसरी,2,उज्यालो नेपाल पार्टी,गोपाल तामाङ,27,पुरुष
365,सुनसरी,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),सन्तोष कुमार मेहता,42,पुरुष
366,सुनसरी,2,राष्ट्र निर्माण दल नेपाल,अदित्य आचार्य,26,पुरुष
367,सुनसरी,2,स्वतन्त्र,देवेन्‍द्र पौडेल,35,पुरुष
368,सुनसरी,2,स्वतन्त्र,नवराज पौडेल,54,पुरुष
369,सुनसरी,2,स्वतन्त्र,रोसनी राई,49,महिला
370,सुनसरी,2,स्वतन्त्र,डम्‍बर बहादुर बराइली,56,पुरुष
371,सुनसरी,2,स्वतन्त्र,इफतखार हसन (इकवाल),46,पुरुष
372,सुनसरी,2,स्वतन्त्र,सत्य नारायण पंडित,66,पुरुष
373,सुनसरी,2,स्वतन्त्र,अन्जना देवी गुप्ता,53,महिला
374,सुनसरी,2,स्वतन्त्र,राज कुमार खत्री,49,पुरुष
375,सुनसरी,2,स्वतन्त्र,भीम बहादुर दाहाल,63,पुरुष
376,सुनसरी,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),भगवती चौधरी,54,महिला
377,सुनसरी,3,नेपाली काँग्रेस,विजय कुमार गच्‍छदार,72,पुरुष
378,सुनसरी,3,राष्ट्रिय प्रजातन्त्र पार्टी,घनश्याम गुरुङ्ग,43,पुरुष
379,सुनसरी,3,नेपाल मजदुर किसान पार्टी,प्रकृति बासी,38,महिला
380,सुनसरी,3,मंगोल नेशनल अर्गनाइजेसन,दिप बहादुर तामाङ्ग,56,पुरुष
381,सुनसरी,3,जनमत पार्टी,राम नारायण थारु,58,पुरुष
382,सुनसरी,3,"जनता समाजवादी पार्टी, नेपाल",बद्री प्रसाद यादव,52,पुरुष
383,सुनसरी,3,नागरिक उन्मुक्ति पार्टी,बासुदेव साहु तेली,49,पुरुष
384,सुनसरी,3,राष्ट्रिय स्वतन्त्र पार्टी,अशोक कुमार चौधरी,42,पुरुष
385,सुनसरी,3,आम जनता पार्टी(एकल चुनाव चिन्ह),रोहन कुमार शाह,50,पुरुष
386,सुनसरी,3,नेपाली कम्युनिष्ट पार्टी,दुर्गेश कुमार चौधरी,46,पुरुष
387,सुनसरी,3,प्रगतिशील लोकतान्त्रिक पार्टी,प्रमोद पौड्याल,40,पुरुष
388,सुनसरी,3,श्रम संस्कृति पार्टी,राम प्रसाद सदा,43,पुरुष
389,सुनसरी,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),आसुतोष ढुङगेल,41,पुरुष
390,सुनसरी,3,सार्वभौम नागरिक पार्टी,कृष्ण कुमार चौधरी,41,पुरुष
391,सुनसरी,3,उज्यालो नेपाल पार्टी,जागेश्‍वर यादव,66,पुरुष
392,सुनसरी,3,स्वतन्त्र,चीत नारायण चौधरी,55,पुरुष
393,सुनसरी,3,स्वतन्त्र,श्याम कुमार मुडियारी,46,पुरुष
394,सुनसरी,3,स्वतन्त्र,सुमन कुमारी चौधरी,39,महिला
395,सुनसरी,3,स्वतन्त्र,कुमारी उराव,57,महिला
396,सुनसरी,3,स्वतन्त्र,कासनी थरुनि,54,महिला
397,सुनसरी,3,स्वतन्त्र,राजन कुमार गौतम,53,पुरुष
398,सुनसरी,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),जगदिश प्रसाद कुसियैत,66,पुरुष
399,सुनसरी,4,नेपाली काँग्रेस,ज्ञानेन्द्र बहादुर कार्की,69,पुरुष
400,सुनसरी,4,राष्ट्रिय प्रजातन्त्र पार्टी,प्रेम प्रसाद भट्टराई,72,पुरुष
401,सुनसरी,4,नेपाल कम्युनिष्ट पार्टी (संयुक्त),सत्य नारायण लहुटिया,63,पुरुष
402,सुनसरी,4,नेपाल मजदुर किसान पार्टी,चन्चला न्हिसुतु,41,महिला
403,सुनसरी,4,मंगोल नेशनल अर्गनाइजेसन,मनकुमार राई,50,पुरुष
404,सुनसरी,4,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,मो.सदिक मियाँ,54,पुरुष
405,सुनसरी,4,नेपाल जनता पार्टी,रमेश कुमार साह,46,पुरुष
406,सुनसरी,4,जनमत पार्टी,कपलेश्वर यादव,41,पुरुष
407,सुनसरी,4,"जनता समाजवादी पार्टी, नेपाल",सबिता यादव,51,महिला
408,सुनसरी,4,राष्ट्रिय स्वतन्त्र पार्टी,दीपक कुमार साह,49,पुरुष
409,सुनसरी,4,आम जनता पार्टी(एकल चुनाव चिन्ह),तवरेज आलम अंसारी,35,पुरुष
410,सुनसरी,4,समावेशी समाजवादी पार्टी नेपाल,एयुव अंसारी,54,पुरुष
411,सुनसरी,4,नेपाली कम्युनिष्ट पार्टी,महमद महफुज अंसारी,56,पुरुष
412,सुनसरी,4,श्रम संस्कृति पार्टी,विष्‍णु राना,49,पुरुष
413,सुनसरी,4,नेपाल कम्युनिस्ट पार्टी (माओवादी),भेषराज बजगाई,50,पुरुष
414,सुनसरी,4,उज्यालो नेपाल पार्टी,,,
415,सुनसरी,4,राष्ट्र निर्माण दल नेपाल,समिद खान,44,पुरुष
416,सुनसरी,4,स्वतन्त्र,यमुना के.सी.,46,महिला
417,सुनसरी,4,स्वतन्त्र,शर्मानन्‍द खतिवडा,63,पुरुष
418,सुनसरी,4,स्वतन्त्र,तेज नारायण गोईत,52,पुरुष
419,सुनसरी,4,स्वतन्त्र,मो. तजमुल मियाँ,46,पुरुष
420,सुनसरी,4,स्वतन्त्र,बुधेश्‍वर यादव,53,पुरुष
421,सुनसरी,4,स्वतन्त्र,पार्वती मुखिया,54,महिला
422,सुनसरी,4,स्वतन्त्र,रोजन विश्‍वकर्मा,32,पुरुष
423,सुनसरी,4,स्वतन्त्र,हरि पराजुली,30,पुरुष
424,सुनसरी,4,स्वतन्त्र,अंकीत कार्की,28,पुरुष
425,सुनसरी,4,स्वतन्त्र,महेन्द्र सुनचाैरी,38,पुरुष
426,सुनसरी,4,स्वतन्त्र,देव नारायण महतो,66,पुरुष
427,सुनसरी,4,स्वतन्त्र,उपेन्द्र कुमार साह,44,पुरुष
428,सुनसरी,4,स्वतन्त्र,जलाल मिया,57,पुरुष
429,सुनसरी,4,स्वतन्त्र,कुन्दन कौसिक,52,पुरुष
430,सुनसरी,4,स्वतन्त्र,फुल कुमारी खान,56,महिला
431,सुनसरी,4,स्वतन्त्र,मो गुलाब अंसारी,26,पुरुष
432,सोलुखुम्बु,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),कल्पना राई,37,महिला
433,सोलुखुम्बु,1,नेपाली काँग्रेस,प्रकाश सिंह कार्की,62,पुरुष
434,सोलुखुम्बु,1,राष्ट्रिय प्रजातन्त्र पार्टी,राजेन्द्र वस्नेत,37,पुरुष
435,सोलुखुम्बु,1,नेपाल मजदुर किसान पार्टी,कमल बहादुर मगर,37,पुरुष
436,सोलुखुम्बु,1,मंगोल नेशनल अर्गनाइजेसन,मन कुमार गुरुङ,63,पुरुष
437,सोलुखुम्बु,1,मितेरी पार्टी नेपाल,श्रीध्वज तामाङ्ग,48,पुरुष
438,सोलुखुम्बु,1,"जनता समाजवादी पार्टी, नेपाल",लाक्पा शेर्पा,44,पुरुष
439,सोलुखुम्बु,1,राष्ट्रिय स्वतन्त्र पार्टी,ऋषि धन थुलुङराई,44,पुरुष
440,सोलुखुम्बु,1,आम जनता पार्टी(एकल चुनाव चिन्ह),गुणराज एफ भट्टराई,36,पुरुष
441,सोलुखुम्बु,1,नेपाली कम्युनिष्ट पार्टी,अशिम राई,42,पुरुष
442,सोलुखुम्बु,1,श्रम संस्कृति पार्टी,वियस राई,42,पुरुष
443,सोलुखुम्बु,1,उज्यालो नेपाल पार्टी,पेम्बा छिरी शेर्पा,29,पुरुष
444,खोटाङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),देव विक्रम राई,56,पुरुष
445,खोटाङ,1,नेपाली काँग्रेस,वीर काजी राई,51,पुरुष
446,खोटाङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,दिपक तामाङ्ग,43,पुरुष
447,खोटाङ,1,नेपाल मजदुर किसान पार्टी,ध्यान प्रसाद ढकाल,53,पुरुष
448,खोटाङ,1,मंगोल नेशनल अर्गनाइजेसन,प्रयाग राई,35,पुरुष
449,खोटाङ,1,मितेरी पार्टी नेपाल,केशर मान चाम्लिङ,47,पुरुष
450,खोटाङ,1,"जनता समाजवादी पार्टी, नेपाल",सुनिल चाम्लिङ,40,पुरुष
451,खोटाङ,1,राष्ट्रिय स्वतन्त्र पार्टी,रुद्र गिरी,54,पुरुष
452,खोटाङ,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),राकेश राई,60,पुरुष
453,खोटाङ,1,नेपाली कम्युनिष्ट पार्टी,हरि रोका,67,पुरुष
454,खोटाङ,1,राष्ट्रिय परिवर्तन पार्टी,मिरेश राई,25,पुरुष
455,खोटाङ,1,श्रम संस्कृति पार्टी,आरेन राई,29,पुरुष
456,खोटाङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),चन्द्र बहादुर बुढाथोकी,47,पुरुष
457,खोटाङ,1,स्वतन्त्र,तिलक चन्द्र राई,42,पुरुष
458,खोटाङ,1,स्वतन्त्र,राज कुमार राई,63,पुरुष
459,ओखलढुंगा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),अस्मिता थापा,30,महिला
460,ओखलढुंगा,1,नेपाली काँग्रेस,कुमार लुईटेल,52,पुरुष
461,ओखलढुंगा,1,राष्ट्रिय प्रजातन्त्र पार्टी,डिक प्रसाद बास्तोला,53,पुरुष
462,ओखलढुंगा,1,राष्ट्रिय जनमोर्चा,शेर बहादुर खत्री,80,पुरुष
463,ओखलढुंगा,1,नेपाल मजदुर किसान पार्टी,सविना प्रजापती,52,महिला
464,ओखलढुंगा,1,मंगोल नेशनल अर्गनाइजेसन,वजेन्द्र राई,45,पुरुष
465,ओखलढुंगा,1,मितेरी पार्टी नेपाल,कुमार बहादुर लामा,60,पुरुष
466,ओखलढुंगा,1,राष्ट्रिय स्वतन्त्र पार्टी,बिश्‍व राज पोखरेल,59,पुरुष
467,ओखलढुंगा,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),नेत्र बहादुर नेम्वाङ,48,पुरुष
468,ओखलढुंगा,1,नेपाली कम्युनिष्ट पार्टी,अम्विर बाबु गुरुङ्ग,60,पुरुष
469,ओखलढुंगा,1,श्रम संस्कृति पार्टी,उद्धव कुमार राई,41,पुरुष
470,ओखलढुंगा,1,उज्यालो नेपाल पार्टी,किशोरी कार्की,26,महिला
471,ओखलढुंगा,1,समावेशी समाजवादी पार्टी,पिंकी राई (बेगु राम राई),32,अन्य
472,ओखलढुंगा,1,स्वतन्त्र,नारायण काजी तामाङ्ग,56,पुरुष
473,ओखलढुंगा,1,स्वतन्त्र,,,
474,ओखलढुंगा,1,स्वतन्त्र,बिक्रम दाहाल,34,पुरुष
475,उदयपुर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),दुर्गा कुमार थापा,60,पुरुष
476,उदयपुर,1,नेपाली काँग्रेस,विदुर वस्नेत,69,पुरुष
477,उदयपुर,1,राष्ट्रिय प्रजातन्त्र पार्टी,सुभास चन्द्र खड्का,45,पुरुष
478,उदयपुर,1,राष्ट्रिय जनमोर्चा,लिल कुमार राई,47,पुरुष
479,उदयपुर,1,नेपाल मजदुर किसान पार्टी,विष्‍णु वहादुर खत्री,47,पुरुष
480,उदयपुर,1,नेपाली जनता दल,कुशेश्वर चौधरी,45,पुरुष
481,उदयपुर,1,मंगोल नेशनल अर्गनाइजेसन,बद्री विक्रम राई,47,पुरुष
482,उदयपुर,1,राष्ट्रिय स्वतन्त्र पार्टी,पारश मणि गेलाल,40,पुरुष
483,उदयपुर,1,आम जनता पार्टी(एकल चुनाव चिन्ह),मनोज कुमार पौडेल,44,पुरुष
484,उदयपुर,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),गणेश कुमार राई,53,पुरुष
485,उदयपुर,1,नेपाली कम्युनिष्ट पार्टी,बल देव चौधरी,57,पुरुष
486,उदयपुर,1,संयुक्त नागरिक पार्टी,सुरेस राई,54,पुरुष
487,उदयपुर,1,नेपाल जनमुक्ति पार्टी,गोकर्ण राई,63,पुरुष
488,उदयपुर,1,श्रम संस्कृति पार्टी,राजेश कुमार राई,43,पुरुष
489,उदयपुर,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),अमृत बहादुर खत्री,43,पुरुष
490,उदयपुर,1,उज्यालो नेपाल पार्टी,अर्जुन तामाङग,61,पुरुष
491,उदयपुर,1,नागरिक सर्वोच्चता पार्टी नेपाल(एकल चुनाव चिन्ह),प्रशान्त कुमार राई,59,पुरुष
492,उदयपुर,1,स्वतन्त्र,देवराज रोका,53,पुरुष
493,उदयपुर,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),अम्वर बहादुर रायामाझी,56,पुरुष
494,उदयपुर,2,नेपाली काँग्रेस,राम कुमार राई,53,पुरुष
495,उदयपुर,2,राष्ट्रिय प्रजातन्त्र पार्टी,विष्णु बहादुर खडका,66,पुरुष
496,उदयपुर,2,नेपाल मजदुर किसान पार्टी,पुर्ण बहादुर बुढाथोकी,41,पुरुष
497,उदयपुर,2,मंगोल नेशनल अर्गनाइजेसन,भाष्कर राई,41,पुरुष
498,उदयपुर,2,राष्ट्रिय स्वतन्त्र पार्टी,सुर्य बहादुर तामाङ्ग,41,पुरुष
499,उदयपुर,2,आम जनता पार्टी(एकल चुनाव चिन्ह),बम बहादुर मगर,38,पुरुष
500,उदयपुर,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),केशव बहादुर मगर,53,पुरुष
501,उदयपुर,2,नेपाली कम्युनिष्ट पार्टी,सुरेश कुमार राई,50,पुरुष
502,उदयपुर,2,राष्ट्रिय परिवर्तन पार्टी,अरुण राई,26,पुरुष
503,उदयपुर,2,श्रम संस्कृति पार्टी,वलराज राई,41,पुरुष
504,उदयपुर,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),दुर्गा बहादुर तामाङ्ग,33,पुरुष
505,उदयपुर,2,स्वतन्त्र,मेजर कुमार राई,43,पुरुष
506,सप्तरी,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुमन राज प्याकुरेल,67,पुरुष
507,सप्तरी,1,नेपाली काँग्रेस,रामदेव साह(तेली),66,पुरुष
508,सप्तरी,1,राष्ट्रिय प्रजातन्त्र पार्टी,सत्य जित कुमार झा,45,पुरुष
509,सप्तरी,1,नेपाल जनता पार्टी,दीपेन्द्र प्रसाद यादव,44,पुरुष
510,सप्तरी,1,जनमत पार्टी,जय कान्त राउत,53,पुरुष
511,सप्तरी,1,"जनता समाजवादी पार्टी, नेपाल",श्याम सुन्दर सरदार,42,पुरुष
512,सप्तरी,1,राष्ट्रिय स्वतन्त्र पार्टी,पुष्पा कुमारी चौधरी,36,महिला
513,सप्तरी,1,आम जनता पार्टी(एकल चुनाव चिन्ह),कौशल साह,31,पुरुष
514,सप्तरी,1,नेपाली कम्युनिष्ट पार्टी,सागर कुमार चौधरी,38,पुरुष
515,सप्तरी,1,नेपाल जनता संरक्षण पार्टी,खेम राज जैशी,44,पुरुष
516,सप्तरी,1,राष्ट्रिय एकता दल,शम्भु प्रसाद देव,60,पुरुष
517,सप्तरी,1,स्वाभिमान पार्टी,सुमित कुमार -,48,पुरुष
518,सप्तरी,1,उज्यालो नेपाल पार्टी,हर्ख नारायण चौधरी,46,पुरुष
519,सप्तरी,1,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",टिकालक्ष्‍मी नारायण चौधरी,41,महिला
520,सप्तरी,1,स्वतन्त्र,जगदेव सदा,40,पुरुष
521,सप्तरी,1,स्वतन्त्र,रिजवाना खातुन,48,महिला
522,सप्तरी,1,स्वतन्त्र,मो अमिन,49,पुरुष
523,सप्तरी,1,स्वतन्त्र,उम्दा देवी सदा,52,महिला
524,सप्तरी,1,स्वतन्त्र,राम कुमारी खङ,25,महिला
525,सप्तरी,1,स्वतन्त्र,संजय कुमार शर्मा,32,पुरुष
526,सप्तरी,1,स्वतन्त्र,लेखनाथ कुमार ठाकुर,39,पुरुष
527,सप्तरी,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),मोहम्मद जियाउल रहमान,33,पुरुष
528,सप्तरी,2,नेपाली काँग्रेस,राम कुमार यादव,56,पुरुष
529,सप्तरी,2,राष्ट्रिय प्रजातन्त्र पार्टी,अजय कुमार दास,27,पुरुष
530,सप्तरी,2,नेपाल मजदुर किसान पार्टी,निलम कुमारी यादव,25,महिला
531,सप्तरी,2,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),राज कुमार मण्डल,48,पुरुष
532,सप्तरी,2,नेपाल जनता पार्टी,रन्जु कुमारी झा (ठाकुर),60,महिला
533,सप्तरी,2,जनमत पार्टी,चन्द्र कान्त राउत,48,पुरुष
534,सप्तरी,2,"जनता समाजवादी पार्टी, नेपाल",उमेश कुमार यादव,55,पुरुष
535,सप्तरी,2,नेपालका लागि नेपाली पार्टी,इन्द्रसागर गुप्‍ता,49,पुरुष
536,सप्तरी,2,राष्ट्रिय स्वतन्त्र पार्टी,रामजी यादव,30,पुरुष
537,सप्तरी,2,आम जनता पार्टी(एकल चुनाव चिन्ह),सुनिल राज दास,32,पुरुष
538,सप्तरी,2,नेपाली कम्युनिष्ट पार्टी,सुर्यनाथ प्रसाद यादव,47,पुरुष
539,सप्तरी,2,श्रम संस्कृति पार्टी,त्रिभुवन खंग,58,पुरुष
540,सप्तरी,2,स्वाभिमान पार्टी,सतिश कुमार सिंह,43,पुरुष
541,सप्तरी,2,सार्वभौम नागरिक पार्टी,दिपक कुमार मंडल,33,पुरुष
542,सप्तरी,2,उज्यालो नेपाल पार्टी,दिपक चौधरी,53,पुरुष
543,सप्तरी,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),अनिश अंसारी,72,पुरुष
544,सप्तरी,2,राष्ट्र निर्माण दल नेपाल,अफरोज आलम,42,पुरुष
545,सप्तरी,2,जन अधिकार पार्टी,शरद सिंह यादव,54,पुरुष
546,सप्तरी,2,"जनता लोकतान्त्रिक पार्टी, नेपाल",वलराम प्रसाद यादव,57,पुरुष
547,सप्तरी,2,स्वतन्त्र,अभिनाष कुमार सिंह,33,पुरुष
548,सप्तरी,2,स्वतन्त्र,प्रेम कुमार यादव,35,पुरुष
549,सप्तरी,2,स्वतन्त्र,पारशमणि यादव,29,पुरुष
550,सप्तरी,2,स्वतन्त्र,विशेश्‍वर यादव,34,पुरुष
551,सप्तरी,2,स्वतन्त्र,सन्तोष कुमार रजक,45,पुरुष
552,सप्तरी,2,स्वतन्त्र,संजय कुमार चौधरी,29,पुरुष
553,सप्तरी,2,स्वतन्त्र,विनोदानन्द झा,68,पुरुष
554,सप्तरी,2,स्वतन्त्र,सुशीला कुमारी साह,32,महिला
555,सप्तरी,2,स्वतन्त्र,राम बिलास ठाकुर,64,पुरुष
556,सप्तरी,2,स्वतन्त्र,किसुनदेव राम,55,पुरुष
557,सप्तरी,2,स्वतन्त्र,अम्‍विका देवी साफी,36,महिला
558,सप्तरी,2,स्वतन्त्र,साधना दास,65,महिला
559,सप्तरी,2,स्वतन्त्र,विन्दु कुमारी चौधरी,47,महिला
560,सप्तरी,2,स्वतन्त्र,जितेन्द्र कुमार यादव,30,पुरुष
561,सप्तरी,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),ताराकान्त चौधरी,60,पुरुष
562,सप्तरी,3,नेपाली काँग्रेस,दिनेश कुमार यादव,65,पुरुष
563,सप्तरी,3,राष्ट्रिय प्रजातन्त्र पार्टी,उम्देश्‍वर प्रसाद साहु,67,पुरुष
564,सप्तरी,3,नेपाल मजदुर किसान पार्टी,प्रभु प्रसाद साह,61,पुरुष
565,सप्तरी,3,नेपाल जनता पार्टी,संतोष कुमार चमन,47,पुरुष
566,सप्तरी,3,जनमत पार्टी,सुरेन्द्र प्रसाद शर्मा,46,पुरुष
567,सप्तरी,3,"जनता समाजवादी पार्टी, नेपाल",उपेन्द्र यादव,65,पुरुष
568,सप्तरी,3,बहुजन एकता पार्टी नेपाल(एकल चुनाव चिन्ह),महादेव राम,52,पुरुष
569,सप्तरी,3,राष्ट्रिय स्वतन्त्र पार्टी,अमर कान्त चौधरी,44,पुरुष
570,सप्तरी,3,आम जनता पार्टी(एकल चुनाव चिन्ह),धनिक लाल चौधरी,53,पुरुष
571,सप्तरी,3,नेपाली कम्युनिष्ट पार्टी,अरुण कुमार साह,42,पुरुष
572,सप्तरी,3,श्रम संस्कृति पार्टी,जय नारायण मंडल,54,पुरुष
573,सप्तरी,3,उज्यालो नेपाल पार्टी,परमेश्‍वर लाल साह,47,पुरुष
574,सप्तरी,3,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),गजेन्द्र कुमार मण्डल,46,पुरुष
575,सप्तरी,3,स्वतन्त्र,कौशल कुमारी चौधरी,47,महिला
576,सप्तरी,3,स्वतन्त्र,हरी नारायण पासमान,47,पुरुष
577,सप्तरी,3,स्वतन्त्र,सरिता कुमारी यादव,34,महिला
578,सप्तरी,3,स्वतन्त्र,ओम प्रकाश विश्‍वकर्मा,49,पुरुष
579,सप्तरी,3,स्वतन्त्र,दुवी लाल यादव,59,पुरुष
580,सप्तरी,3,स्वतन्त्र,कोशिला देवी पासवान,65,महिला
581,सप्तरी,3,स्वतन्त्र,रजिया देवी सदा,62,महिला
582,सप्तरी,3,स्वतन्त्र,प्रभु नारायण चौधरी,42,पुरुष
583,सप्तरी,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),गंगा प्रसाद चौधरी,63,पुरुष
584,सप्तरी,4,नेपाली काँग्रेस,तेजु लाल चौधरी,63,पुरुष
585,सप्तरी,4,राष्ट्रिय प्रजातन्त्र पार्टी,रुप कुमार न्यौपाने,64,पुरुष
586,सप्तरी,4,नेपाल मजदुर किसान पार्टी,राम नारायण साह,56,पुरुष
587,सप्तरी,4,नेपाली जनता दल,रामवावु रजक,42,पुरुष
588,सप्तरी,4,नेपाल जनता पार्टी,कोशल किशोर दास,39,पुरुष
589,सप्तरी,4,जनमत पार्टी,जितेन्द्र कुमार साह,43,पुरुष
590,सप्तरी,4,"जनता समाजवादी पार्टी, नेपाल",वाँवी सिंह,43,महिला
591,सप्तरी,4,राष्ट्रिय स्वतन्त्र पार्टी,सिताराम साह,65,पुरुष
592,सप्तरी,4,आम जनता पार्टी(एकल चुनाव चिन्ह),अनिता कुमारी चौधरी,34,महिला
593,सप्तरी,4,नेपाली कम्युनिष्ट पार्टी,रुवी कुमारी कर्ण,44,महिला
594,सप्तरी,4,उज्यालो नेपाल पार्टी,विशो कुमार यादव,35,पुरुष
595,सप्तरी,4,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",रामा कान्त चौधरी,54,पुरुष
596,सप्तरी,4,राष्ट्र निर्माण दल नेपाल,मो. जाकीर अली,54,पुरुष
597,सप्तरी,4,स्वतन्त्र,श्‍यामसुन्‍दर साहु,62,पुरुष
598,सप्तरी,4,स्वतन्त्र,संजीव कुमार साह,47,पुरुष
599,सप्तरी,4,स्वतन्त्र,विनोद कुमार मंडल,41,पुरुष
600,सप्तरी,4,स्वतन्त्र,सनम कुमारी चौधरी,29,महिला
601,सप्तरी,4,स्वतन्त्र,सुरेन्द्र प्रसाद साह,36,पुरुष
602,सप्तरी,4,स्वतन्त्र,दुर्गा प्रसाद यादव,41,पुरुष
603,सप्तरी,4,स्वतन्त्र,संतोष प्रसाद सिंह,52,पुरुष
604,सप्तरी,4,स्वतन्त्र,सुनिल कुमार यादव,46,पुरुष
605,सप्तरी,4,स्वतन्त्र,रामेश्‍वर मंडल धानुक,72,पुरुष
606,सप्तरी,4,स्वतन्त्र,शिव कुमार कापैर,33,पुरुष
607,सप्तरी,4,स्वतन्त्र,प्रेम कुमारी महरा,40,महिला
608,सप्तरी,4,स्वतन्त्र,किर्तीनन्द चौधरी,46,पुरुष
609,सप्तरी,4,स्वतन्त्र,केश्‍वर प्रसाद साह,52,पुरुष
610,सिराहा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),राम शंकर यादव,64,पुरुष
611,सिराहा,1,नेपाली काँग्रेस,राम सुन्दर चौधरी,63,पुरुष
612,सिराहा,1,राष्ट्रिय प्रजातन्त्र पार्टी,बासुदेव साह,54,पुरुष
613,सिराहा,1,नेपाल मजदुर किसान पार्टी,सिरीया पासमान,56,पुरुष
614,सिराहा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,बद्री नारायण चौधरी,55,पुरुष
615,सिराहा,1,जनमत पार्टी,राम स्वरुप चौधरी,67,पुरुष
616,सिराहा,1,"जनता समाजवादी पार्टी, नेपाल",सत्य नारायण यादव,55,पुरुष
617,सिराहा,1,नागरिक उन्मुक्ति पार्टी,प्रबीण कुमार चौधरी,48,पुरुष
618,सिराहा,1,नेपालका लागि नेपाली पार्टी,राम कुमार साह,45,पुरुष
619,सिराहा,1,राष्ट्रिय स्वतन्त्र पार्टी,बब्लु गुप्ता,28,पुरुष
620,सिराहा,1,आम जनता पार्टी(एकल चुनाव चिन्ह),संजीव कुमार सिंह,40,पुरुष
621,सिराहा,1,नेपाली कम्युनिष्ट पार्टी,रामचन्द्र यादव,64,पुरुष
622,सिराहा,1,श्रम संस्कृति पार्टी,डा जिवछ ठाकुर,43,पुरुष
623,सिराहा,1,उज्यालो नेपाल पार्टी,तारा कुमारी चौधरी,44,महिला
624,सिराहा,1,स्वतन्त्र,सन्तोष सिलवाल,51,पुरुष
625,सिराहा,1,स्वतन्त्र,जुगाई मंडल,41,पुरुष
626,सिराहा,1,स्वतन्त्र,भोला पासमान,59,पुरुष
627,सिराहा,1,स्वतन्त्र,श्री नन्द साफी धोवी,67,पुरुष
628,सिराहा,1,स्वतन्त्र,आन्नद कुमार यादव,45,पुरुष
629,सिराहा,1,स्वतन्त्र,पंकज गोश्‍वामी,35,पुरुष
630,सिराहा,1,स्वतन्त्र,रामदेव ठाकुर,42,पुरुष
631,सिराहा,1,स्वतन्त्र,राम चन्दर यादव,45,पुरुष
632,सिराहा,1,स्वतन्त्र,आशिष महतो,27,पुरुष
633,सिराहा,1,स्वतन्त्र,अशिष लाल दास,28,पुरुष
634,सिराहा,1,स्वतन्त्र,दुर्गा प्रसाद महतो,33,पुरुष
635,सिराहा,1,स्वतन्त्र,राम कुमार महतो,38,पुरुष
636,सिराहा,1,स्वतन्त्र,इन्द्र देव महतो,37,पुरुष
637,सिराहा,1,स्वतन्त्र,वालेश्वर दास तत्मा,51,पुरुष
638,सिराहा,1,स्वतन्त्र,दिनेश पासमान,42,पुरुष
639,सिराहा,1,स्वतन्त्र,सुलोचना कुश्मी,37,महिला
